epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,151.355,1.15798,1.07579,1.35555,0.69377,0.70616,0.7286,0.41238,1.09647,0.84848,1.24545,0.000456863,0.000456863,0.000456863
43,154.44,1.12605,1.0546,1.32828,0.61874,0.65711,0.68257,0.40043,1.09125,0.92411,1.25216,0.00044925,0.00044925,0.00044925
44,157.872,1.09329,0.93925,1.30994,0.67734,0.76137,0.74583,0.43474,1.07399,0.81189,1.2501,0.000441637,0.000441637,0.000441637
45,161.747,1.13537,0.97208,1.35517,0.71252,0.77605,0.74064,0.43411,1.07646,0.80421,1.25827,0.000434024,0.000434024,0.000434024
46,164.986,1.11437,0.96533,1.30376,0.66842,0.73435,0.7361,0.44708,1.06384,0.8173,1.24126,0.000426411,0.000426411,0.000426411
47,169.114,1.12401,0.95374,1.32294,0.74708,0.6098,0.73026,0.42831,1.07806,0.88394,1.23984,0.000418797,0.000418797,0.000418797
48,172.332,1.04486,0.97511,1.27046,0.61565,0.7417,0.71405,0.42912,1.08002,0.83433,1.23358,0.000411184,0.000411184,0.000411184
49,175.442,1.08083,0.90524,1.26908,0.66475,0.76467,0.76061,0.44361,1.08499,0.79741,1.24751,0.000403571,0.000403571,0.000403571
50,178.738,1.11663,0.98641,1.34794,0.71457,0.73436,0.76934,0.45414,1.06502,0.72963,1.25988,0.000395958,0.000395958,0.000395958
51,182.706,1.08311,0.89334,1.30059,0.76361,0.7672,0.80239,0.4715,1.05552,0.72749,1.24204,0.000388345,0.000388345,0.000388345
52,186.772,1.0607,0.87827,1.29606,0.78287,0.72936,0.79349,0.46526,1.05842,0.71988,1.23494,0.000380732,0.000380732,0.000380732
53,190.276,1.04182,0.8716,1.28241,0.76727,0.75232,0.78047,0.45437,1.08391,0.7358,1.25136,0.000373119,0.000373119,0.000373119
54,193.466,1.08008,1.01005,1.32324,0.78163,0.72332,0.76564,0.44132,1.08787,0.75711,1.256,0.000365506,0.000365506,0.000365506
55,196.435,1.03012,0.86834,1.26773,0.75346,0.73034,0.77166,0.43657,1.08472,0.80059,1.25729,0.000357893,0.000357893,0.000357893
56,199.501,1.054,0.93352,1.28964,0.74869,0.75529,0.78574,0.4652,1.06395,0.71315,1.23279,0.00035028,0.00035028,0.00035028
57,202.771,1.04459,0.89496,1.29968,0.76861,0.72405,0.78353,0.47145,1.06378,0.72393,1.22475,0.000342666,0.000342666,0.000342666
58,206.027,1.02829,0.88241,1.27219,0.7296,0.79396,0.78674,0.47204,1.06351,0.73846,1.23241,0.000335053,0.000335053,0.000335053
59,210.139,1.1008,0.94546,1.3414,0.72546,0.752,0.77952,0.46736,1.08452,0.71406,1.25089,0.00032744,0.00032744,0.00032744
60,213.503,1.07679,0.83972,1.29476,0.67416,0.77763,0.77069,0.45526,1.07723,0.71484,1.26235,0.000319827,0.000319827,0.000319827
61,216.7,1.02119,0.83296,1.26845,0.69434,0.78831,0.79266,0.46992,1.0704,0.71863,1.26095,0.000312214,0.000312214,0.000312214
62,219.859,0.98509,0.78387,1.23457,0.712,0.76607,0.75871,0.45199,1.06163,0.71922,1.2513,0.000304601,0.000304601,0.000304601
63,223.135,0.98956,0.78656,1.26612,0.79687,0.73248,0.78318,0.44955,1.07316,0.73634,1.25337,0.000296988,0.000296988,0.000296988
64,226.365,0.967,0.73686,1.20032,0.7743,0.70255,0.76793,0.44721,1.10191,0.77175,1.25924,0.000289375,0.000289375,0.000289375
65,229.666,0.99919,0.82933,1.25309,0.75985,0.80394,0.79807,0.46742,1.085,0.71271,1.24866,0.000281762,0.000281762,0.000281762
66,233.057,0.96929,0.77091,1.21808,0.79952,0.83265,0.80435,0.47143,1.09299,0.69758,1.26286,0.000274148,0.000274148,0.000274148
67,236.238,0.97636,0.75949,1.22255,0.78362,0.83799,0.81115,0.47408,1.10085,0.68759,1.27605,0.000266535,0.000266535,0.000266535
68,240.231,0.98554,0.77885,1.21552,0.74469,0.80104,0.79815,0.46344,1.11018,0.71294,1.27739,0.000258922,0.000258922,0.000258922
69,243.393,1.00797,0.73055,1.25569,0.73842,0.80151,0.80628,0.47424,1.11429,0.72679,1.28616,0.000251309,0.000251309,0.000251309
70,247.283,0.92109,0.79965,1.21405,0.77354,0.77786,0.79097,0.45936,1.09367,0.74484,1.27246,0.000243696,0.000243696,0.000243696
71,250.644,0.9571,0.75638,1.22799,0.7416,0.7878,0.78876,0.46541,1.0971,0.73248,1.27303,0.000236083,0.000236083,0.000236083
72,253.88,0.89828,0.72402,1.18962,0.77284,0.77092,0.78373,0.46614,1.11789,0.70661,1.29017,0.00022847,0.00022847,0.00022847
73,257.35,0.92836,0.73689,1.22853,0.77077,0.79205,0.79317,0.47833,1.1055,0.69555,1.29296,0.000220857,0.000220857,0.000220857
74,261.348,0.91058,0.66987,1.18287,0.82053,0.79612,0.81629,0.47177,1.11788,0.70292,1.30826,0.000213244,0.000213244,0.000213244
75,264.518,0.88566,0.68518,1.21005,0.84055,0.77475,0.83024,0.47531,1.11838,0.70989,1.31384,0.000205631,0.000205631,0.000205631
76,267.773,0.9078,0.69469,1.19229,0.80298,0.80143,0.81073,0.48487,1.11522,0.70024,1.31511,0.000198018,0.000198018,0.000198018
77,271.641,0.89559,0.66087,1.16949,0.79515,0.78587,0.81254,0.48172,1.1165,0.70868,1.3087,0.000190404,0.000190404,0.000190404
78,274.783,0.8761,0.65026,1.1622,0.80041,0.78152,0.78493,0.47398,1.11311,0.69236,1.30041,0.000182791,0.000182791,0.000182791
79,277.88,0.8946,0.68057,1.16764,0.79885,0.77899,0.79341,0.47579,1.10986,0.67104,1.29679,0.000175178,0.000175178,0.000175178
80,281.257,0.88687,0.69941,1.18983,0.80712,0.81363,0.8158,0.47764,1.11702,0.66966,1.3081,0.000167565,0.000167565,0.000167565
81,284.43,0.83655,0.63955,1.13192,0.84941,0.80988,0.82686,0.48175,1.11678,0.65512,1.31329,0.000159952,0.000159952,0.000159952
82,288.035,0.86702,0.66268,1.17996,0.84305,0.78566,0.81457,0.47752,1.12104,0.66273,1.32341,0.000152339,0.000152339,0.000152339
83,291.549,0.85573,0.66089,1.16925,0.81217,0.76982,0.80719,0.48011,1.11742,0.66422,1.32006,0.000144726,0.000144726,0.000144726
